Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2020-01-31,9484.11,9488.6,9215.5,9339.8,66.03801214,618079.39090332,9359.4487610105
2020-01-30,9279.3,9531.3,9175.8,9484.11,307.84014321,2885573.6556846,9373.6106850631
2020-01-29,9362.4,9407.0,9238.0,9288.7,161.48473035,1508871.9198566,9343.7436257053
2020-01-28,8917.63,9402.0,8903.3,9367.9,107.15842775,982043.03760418,9164.4031946351
2020-01-27,8599.8,8979.72,8579.8,8887.5,20.00757075,174256.57718157,8709.5319746189
2020-01-26,8327.8,8587.4,8300.0,8582.3,12.9343654,109434.74733063,8460.7743748011
2020-01-25,8407.4,8407.4,8266.0,8347.4,5.97098147,49734.013651847,8329.286215629
2020-01-24,8384.9,8500.0,8240.55,8414.9,23.3191127,194742.93910548,8351.2156577674
2020-01-23,8645.6,8645.6,8295.8,8395.0,32.15404269,271610.69024813,8447.1707917648
2020-01-22,8709.29,8776.0,8567.13,8640.0,17.0399921,147437.36290455,8652.4314118992
2020-01-21,8636.4,8749.2,8513.0,8729.3,35.71118943,307788.92182935,8618.8370295721
2020-01-20,8710.03,8714.8,8551.6,8629.5,12.48186734,107747.02715675,8632.2842746023
2020-01-19,8886.23,9168.0,8459.6,8703.2,217.20404606,1950331.0440222,8979.2574282133
2020-01-18,8890.8,8960.0,8822.8,8944.43,16.99893309,151752.8132318,8927.19633805
2020-01-17,8712.7,8979.3,8664.8,8918.6,139.10214167,1229613.1219105,8839.641914555
2020-01-16,8786.56,8825.0,8592.2,8720.0,97.20634565,848746.9561966,8731.3945455021
2020-01-15,8801.8,8875.2,8555.3,8792.7,381.24098295,3338793.800833,8757.6990673923
2020-01-14,8080.9,8838.9,8080.9,8807.9,291.02926224,2474384.3967788,8502.184205581
2020-01-13,8148.21,8148.21,8015.8,8082.0,15.20364083,122972.7640133,8088.3760270532
2020-01-12,7989.6,8148.21,7972.6,8148.21,5.91574103,47718.92250079,8066.4319581937
2020-01-11,8173.2,8240.47,8000.0,8000.0,45.38582842,368961.18529375,8129.4359525485
2020-01-10,7824.9,8173.1,7660.0,8165.9,107.96104356,857165.25333716,7939.5791766387
2020-01-09,8044.4,8044.4,7756.9,7824.9,65.60263637,518846.30729877,7908.9246409621
2020-01-08,8195.9,8449.8,7874.4,8035.0,138.62667743,1140236.8401675,8225.2338532983
2020-01-07,7758.1,8205.2,7733.7,8176.8,87.068802,693094.1827309,7960.3045730536
2020-01-06,7355.01,7785.4,7355.01,7775.26,37.03067547,281824.79340769,7610.5766322305
2020-01-05,7367.45,7480.1,7327.3,7333.01,13.69200079,101469.03628955,7410.8260615686
