code,name,description,refreshed_at,from_date,to_date
BITXMYR,Bitcoin Markets (bitxMYR),This dataset has no description.,2020-04-25 23:04:27,2017-04-19,2020-04-25
BITXNGN,Bitcoin Markets (bitxNGN),This dataset has no description.,2020-04-25 23:04:27,2017-04-19,2020-04-25
BITXZAR,Bitcoin Markets (bitxZAR),Daily Bitcoin exchange rate (BTC vs. ZAR) on Bitx. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2020-04-25 23:04:27,2013-09-08,2020-04-25
BRITCOINGBP,Bitcoin Markets (britcoinGBP),Daily Bitcoin exchange rate (BTC vs. GBP) on Britcoin. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-03-30,2011-09-19
BTC24EUR,Bitcoin Markets (btc24EUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Btc24. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2012-05-09,2014-09-04
BTC24USD,Bitcoin Markets (btc24USD),Daily Bitcoin exchange rate (BTC vs. USD) on Btc24. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2012-05-14,2013-04-13
BTC2UBRL,Bitcoin Markets (btc2uBRL),This dataset has no description.,2016-01-14 23:01:25,2013-10-21,2015-02-02
BTCALPHAUSD,Bitcoin Markets (btcalphaUSD),This dataset has no description.,2019-09-20 23:04:26,2017-04-09,2019-08-22
BTCBOXJPY,Bitcoin Markets (btcboxJPY),This dataset has no description.,2020-04-25 23:04:27,2017-07-05,2020-04-25
BTCCUSD,Bitcoin Markets (btccUSD),This dataset has no description.,2018-07-10 23:08:36,2017-04-12,2018-06-11
